,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,adjoe,pfr,pid,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,ROUND
0,34,86.3,108.9,28.0,53.7,56.04,15.4,22.2,9.6,17.5,117,179,0.654,252,469,0.537,0,0,0.0,5.6,1.5,38.2,126.906,3.4,215,0.51547548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.241,94.4767,3.92113,251.586,5.5629,3.55648,2.00643,4.59277,35.6765,4.56177,0.0309945,4.2059,6.8235,11.0294,1.4706,0.8824,1.7059,18.2647,1.0
1,34,88.0,117.3,32.6,52.4,58.33,1.6,10.0,40.8,15.4,198,243,0.815,182,353,0.516,66,183,0.361,0.5,2.9,45.3,137.585,2.7,295,2.07920961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5092,95.9311,3.70657,211.625,8.6185,8.21306,0.405443,10.5694,35.4706,8.52288,2.04655,0.4706,3.1176,3.5882,6.1765,1.7059,0.1765,22.3529,1.0
2,37,85.4,100.3,24.6,49.2,51.67,9.1,18.7,18.2,22.0,90,139,0.647,171,347,0.493,31,95,0.326,4.1,1.7,31.4,111.212,2.2,365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6298,82.7262,5.16034,265.066,6.6726,1.81849,4.8541,5.72521,34.2703,2.77433,2.95088,2.7568,5.9459,8.7027,3.2162,1.027,1.3784,14.1892,1.0
3,34,69.3,124.7,26.5,52.4,61.26,10.7,16.6,5.9,12.2,249,296,0.841,214,411,0.521,9,23,0.391,1.1,2.2,68.2,143.123,3.0,895,0.53969452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7501,88.5631,3.9451,223.742,7.1845,6.45565,0.728855,8.81603,30.2647,7.44251,1.37352,3.0294,5.0882,8.1176,1.0,1.2353,0.3529,20.7059,1.0
4,35,83.6,117.1,21.5,60.1,62.12,13.4,19.0,8.2,17.4,120,182,0.659,190,316,0.601,0,0,0.0,9.5,1.8,57.6,124.31,3.5,1132,0.61110299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7663,84.1619,4.88672,259.815,11.3356,4.38556,6.95008,9.59617,33.6857,5.14951,4.44666,3.5143,5.5143,9.0286,1.2571,0.9714,2.8571,14.2857,1.0
5,31,79.9,113.1,26.2,54.6,61.47,1.7,8.6,20.2,21.0,179,219,0.817,135,269,0.502,45,102,0.441,2.0,3.1,59.0,125.453,2.7,1633,1.05770834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1768,90.6154,3.95475,203.186,6.6175,4.81044,1.80706,8.47287,31.9677,5.78494,2.68792,0.4839,2.8065,3.2903,3.5484,1.871,0.6452,18.8387,1.0
6,31,76.3,113.5,22.2,57.4,59.31,9.6,19.2,12.3,18.5,69,99,0.697,165,276,0.598,22,69,0.319,5.0,2.5,28.7,119.948,3.8,1634,0.83783671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.965,85.6534,4.3006,236.275,9.52538,4.79792,4.72746,8.39846,30.5161,5.0609,3.33757,2.5484,5.9677,8.5161,2.0,1.4194,1.5484,15.0,1.0
7,33,82.1,118.0,37.5,54.9,60.46,1.8,12.3,39.8,16.6,212,241,0.88,176,340,0.518,127,327,0.388,0.7,3.9,36.1,141.028,2.8,1827,1.43198081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1128,88.3785,4.44618,253.62,12.3076,9.67838,2.62918,15.279,33.8182,10.7909,4.48812,0.5758,3.9091,4.4848,5.4242,2.3333,0.2121,28.6364,1.0
8,37,74.1,110.6,27.2,49.4,54.24,4.7,14.4,18.0,15.4,143,188,0.761,172,351,0.49,41,122,0.336,2.4,2.4,39.7,126.916,2.3,2016,1.13749889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2551,88.4646,3.88664,216.74,6.55578,4.30157,2.25421,8.56934,29.7297,6.30326,2.26608,1.2432,3.7027,4.9459,2.4595,1.2432,0.7568,16.4865,1.0
9,37,90.7,111.9,24.9,50.6,56.57,1.9,5.9,32.6,20.5,175,223,0.785,168,325,0.517,45,140,0.321,0.4,2.0,48.0,126.92,1.5,2115,1.95277362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.602,97.009,3.68145,214.199,4.75927,5.21382,-0.454556,5.64943,37.4865,5.10228,0.547152,0.5946,2.2162,2.8108,6.7027,1.3514,0.1622,17.4595,1.0
